address	bundle	op	role	defs	uses	text
0x802	1	vsub.f	vector_arith	acc3.bmll, acc3.bmlh, acc3.bmhl, acc3.bmhh	acc2.bmll<-vector_arith:g2@0x7fa.0:vadd; acc2.bmlh<-vector_arith:g2@0x7fa.0:vadd; acc2.bmhl<-vector_arith:g2@0x7fa.0:vadd; acc2.bmhh<-vector_arith:g2@0x7fa.0:vadd; acc0.bmll<-entry:entry; acc0.bmlh<-entry:entry; acc0.bmhl<-entry:entry; acc0.bmhh<-entry:entry; r5<-entry:entry	vsub.f	dm3, dm2, dm0, r5
0x80a	0	vextbcst.16	activation_lane_broadcast	vec9.lo, vec9.hi	vec11.lo<-vector_load:g2@0x7de.0:vldb; vec11.hi<-vector_load:g2@0x7de.0:vldb	vextbcst.16	 x9, x11, #0x1
0x80e	0	nop	nop			nop
0x810	0	nop	nop			nop
0x812	0	vunpack	unpacked_q4	vec1.lo, vec1.hi	vec0.lo<-vector_load:g1@0x7d2.0:vldb; unpacksign0<-entry:entry	vunpack	x1, wl0, unpacksign0
0x812	1	vmov	register_move	acc2.bmll	acc1.bmll<-vector_arith:g2@0x7f6.0:vsub.f	vmov	bmll2, bmll1
0x818	0	vconv.bf16.fp32	bf16_coeff	vec4.lo	acc3.bmll<-vector_arith:g2@0x802.1:vsub.f	vconv.bf16.fp32	 wl4, bmll3
0x818	1	vmov	register_move	acc2.bmlh	acc1.bmlh<-vector_arith:g2@0x7f6.0:vsub.f	vmov	bmlh2, bmlh1
0x820	0	vmov	register_move	acc2.bmhl	acc1.bmhl<-vector_arith:g2@0x7f6.0:vsub.f	vmov	bmhl2, bmhl1
0x824	0	vconv.bf16.fp32	bf16_coeff	vec5.lo, vec5.hi	acc2.bmll<-register_move:g2@0x812.1:vmov; acc2.bmlh<-register_move:g2@0x818.1:vmov	vconv.bf16.fp32	 x5, cml2
0x824	1	vups.4x	expanded_q4	acc1.bmll, acc1.bmlh, acc1.bmhl, acc1.bmhh	vec5.lo<-bf16_coeff:g2@0x824.0:vconv.bf16.fp32; vec5.hi<-bf16_coeff:g2@0x824.0:vconv.bf16.fp32; s0<-entry:entry; upssign0<-entry:entry	vups.4x	dm1, x5, s0, upssign0
0x824	2	vmac.f	mac_accumulate	acc4.bmll, acc4.bmlh, acc4.bmhl, acc4.bmhh	acc4.bmll<-register_move:g1@0x786.0:vmov; acc4.bmlh<-vector_arith:g1@0x6ce.0:vsub.f; acc4.bmhl<-vector_arith:g1@0x6ce.0:vsub.f; acc4.bmhh<-vector_arith:g1@0x6ce.0:vsub.f; vec4.lo<-bf16_coeff:g2@0x818.0:vconv.bf16.fp32; vec4.hi<-bf16_coeff:g1@0x76c.0:vconv.bf16.fp32; vec2.lo<-vector_load:g1@0x790.0:vldb; vec2.hi<-activation_lane_broadcast:g1@0x764.1:vextbcst.16; r4<-entry:entry	vmac.f	dm4, dm4, x4, x2, r4
0x82e	0	nop	nop			nop
0x830	0	vmov	register_move	acc2.bmhh	acc1.bmhh<-expanded_q4:g2@0x824.1:vups.4x	vmov	bmhh2, bmhh1
0x834	0	vmov	register_move	vec6.lo	vec5.hi<-bf16_coeff:g2@0x824.0:vconv.bf16.fp32	vmov	wl6, wh5
0x834	1	vmac.f	mac_accumulate	acc4.bmll, acc4.bmlh, acc4.bmhl, acc4.bmhh	acc4.bmll<-mac_accumulate:g2@0x824.2:vmac.f; acc4.bmlh<-mac_accumulate:g2@0x824.2:vmac.f; acc4.bmhl<-mac_accumulate:g2@0x824.2:vmac.f; acc4.bmhh<-mac_accumulate:g2@0x824.2:vmac.f; vec6.lo<-register_move:g2@0x834.0:vmov; vec6.hi<-activation_lane_broadcast:g1@0x76c.1:vextbcst.16; vec1.lo<-unpacked_q4:g2@0x812.0:vunpack; vec1.hi<-unpacked_q4:g2@0x812.0:vunpack; r4<-entry:entry	vmac.f	dm4, dm4, x6, x1, r4
0x83c	0	vconv.bf16.fp32	bf16_coeff	vec3.lo, vec3.hi	acc2.bmhl<-register_move:g2@0x820.0:vmov; acc2.bmhh<-register_move:g2@0x830.0:vmov	vconv.bf16.fp32	 x3, cmh2
0x840	0	nop	nop			nop
0x842	0	vmov	register_move	vec2.lo	vec3.hi<-bf16_coeff:g2@0x83c.0:vconv.bf16.fp32	vmov	wl2, wh3
0x846	0	vadd	vector_arith	acc4.bmll, acc4.bmlh, acc4.bmhl, acc4.bmhh	acc1.bmll<-expanded_q4:g2@0x824.1:vups.4x; acc1.bmlh<-expanded_q4:g2@0x824.1:vups.4x; acc1.bmhl<-expanded_q4:g2@0x824.1:vups.4x; acc1.bmhh<-expanded_q4:g2@0x824.1:vups.4x; acc0.bmll<-entry:entry; acc0.bmlh<-entry:entry; acc0.bmhl<-entry:entry; acc0.bmhh<-entry:entry; r0<-entry:entry	vadd	dm4, dm1, dm0, r0
0x84a	0	nop	nop			nop
0x84c	0	vmov	register_move	lfh0	acc4.bmll<-vector_arith:g2@0x846.0:vadd	vmov	lfh0, bmll4
0x84c	1	vsub.f	vector_arith	acc2.bmll, acc2.bmlh, acc2.bmhl, acc2.bmhh	acc4.bmll<-vector_arith:g2@0x846.0:vadd; acc4.bmlh<-vector_arith:g2@0x846.0:vadd; acc4.bmhl<-vector_arith:g2@0x846.0:vadd; acc4.bmhh<-vector_arith:g2@0x846.0:vadd; acc0.bmll<-entry:entry; acc0.bmlh<-entry:entry; acc0.bmhl<-entry:entry; acc0.bmhh<-entry:entry; r5<-entry:entry	vsub.f	dm2, dm4, dm0, r5
0x854	0	nop	nop			nop
0x856	0	vmov	register_move	acc1.bmhl	acc3.bmhl<-vector_arith:g2@0x802.1:vsub.f	vmov	bmhl1, bmhl3
0x85a	0	nop	nop			nop
0x85c	0	vldb	vector_load	vec6.lo, vec6.hi	p0<-entry:entry	vldb	 x6, [p0], #0x40
0x85c	1	vmov	register_move	acc1.bmhh	acc3.bmhh<-vector_arith:g2@0x802.1:vsub.f	vmov	bmhh1, bmhh3
0x862	0	vmov	register_move	acc1.bmll	acc3.bmll<-vector_arith:g2@0x802.1:vsub.f	vmov	bmll1, bmll3
0x866	0	vconv.bf16.fp32	bf16_coeff	vec8.lo, vec8.hi	acc1.bmhl<-register_move:g2@0x856.0:vmov; acc1.bmhh<-register_move:g2@0x85c.1:vmov	vconv.bf16.fp32	 x8, cmh1
0x866	1	vups.4x	expanded_q4	acc3.bmll, acc3.bmlh, acc3.bmhl, acc3.bmhh	vec10.lo<-unpacked_q4:g1@0x7ce.0:vunpack; vec10.hi<-unpacked_q4:g1@0x7ce.0:vunpack; s0<-entry:entry; upssign0<-entry:entry	vups.4x	dm3, x10, s0, upssign0
0x866	2	vadd	vector_arith	acc3.bmll, acc3.bmlh, acc3.bmhl, acc3.bmhh	acc3.bmll<-expanded_q4:g2@0x866.1:vups.4x; acc3.bmlh<-expanded_q4:g2@0x866.1:vups.4x; acc3.bmhl<-expanded_q4:g2@0x866.1:vups.4x; acc3.bmhh<-expanded_q4:g2@0x866.1:vups.4x; acc0.bmll<-entry:entry; acc0.bmlh<-entry:entry; acc0.bmhl<-entry:entry; acc0.bmhh<-entry:entry; r0<-entry:entry	vadd	dm3, dm3, dm0, r0
0x870	0	vextbcst.16	activation_lane_broadcast	vec10.lo, vec10.hi	vec11.lo<-vector_load:g2@0x7de.0:vldb; vec11.hi<-vector_load:g2@0x7de.0:vldb	vextbcst.16	 x10, x11, #0x2
0x870	1	vmul.f	vector_arith	acc3.bmll, acc3.bmlh, acc3.bmhl, acc3.bmhh	vec5.lo<-bf16_coeff:g2@0x824.0:vconv.bf16.fp32; vec5.hi<-bf16_coeff:g2@0x824.0:vconv.bf16.fp32; vec7.lo<-activation_lane_broadcast:g2@0x802.0:vextbcst.16; vec7.hi<-activation_lane_broadcast:g2@0x802.0:vextbcst.16; r4<-entry:entry	vmul.f	dm3, x5, x7, r4
0x878	0	vmov	register_move	acc1.bmlh	acc3.bmlh<-vector_arith:g2@0x870.1:vmul.f	vmov	bmlh1, bmlh3
0x878	1	vsub.f	vector_arith	acc4.bmll, acc4.bmlh, acc4.bmhl, acc4.bmhh	acc3.bmll<-vector_arith:g2@0x870.1:vmul.f; acc3.bmlh<-vector_arith:g2@0x870.1:vmul.f; acc3.bmhl<-vector_arith:g2@0x870.1:vmul.f; acc3.bmhh<-vector_arith:g2@0x870.1:vmul.f; acc0.bmll<-entry:entry; acc0.bmlh<-entry:entry; acc0.bmhl<-entry:entry; acc0.bmhh<-entry:entry; r5<-entry:entry	vsub.f	dm4, dm3, dm0, r5
0x880	0	vextbcst.16	activation_lane_broadcast	vec7.lo, vec7.hi	vec11.lo<-vector_load:g2@0x7de.0:vldb; vec11.hi<-vector_load:g2@0x7de.0:vldb	vextbcst.16	 x7, x11, #0x3
0x884	0	vconv.bf16.fp32	bf16_coeff	vec4.lo, vec4.hi	acc1.bmll<-register_move:g2@0x862.0:vmov; acc1.bmlh<-register_move:g2@0x878.0:vmov	vconv.bf16.fp32	 x4, cml1
0x884	1	vmov	register_move	acc1.bmhh	acc2.bmhh<-vector_arith:g2@0x84c.1:vsub.f	vmov	bmhh1, bmhh2
0x884	2	vmac.f	mac_accumulate	acc3.bmll, acc3.bmlh, acc3.bmhl, acc3.bmhh	acc3.bmll<-vector_arith:g2@0x870.1:vmul.f; acc3.bmlh<-vector_arith:g2@0x870.1:vmul.f; acc3.bmhl<-vector_arith:g2@0x870.1:vmul.f; acc3.bmhh<-vector_arith:g2@0x870.1:vmul.f; vec6.lo<-vector_load:g2@0x85c.0:vldb; vec6.hi<-vector_load:g2@0x85c.0:vldb; vec9.lo<-activation_lane_broadcast:g2@0x80a.0:vextbcst.16; vec9.hi<-activation_lane_broadcast:g2@0x80a.0:vextbcst.16; r4<-entry:entry	vmac.f	dm3, dm3, x6, x9, r4
0x88e	0	vextbcst.16	activation_lane_broadcast	vec9.lo, vec9.hi	vec11.lo<-vector_load:g2@0x7de.0:vldb; vec11.hi<-vector_load:g2@0x7de.0:vldb	vextbcst.16	 x9, x11, #0x8
0x892	0	vmov	register_move	vec10.lo	vec4.hi<-bf16_coeff:g2@0x884.0:vconv.bf16.fp32	vmov	wl10, wh4
0x896	0	vmov	register_move	acc1.bmll	acc2.bmll<-vector_arith:g2@0x84c.1:vsub.f	vmov	bmll1, bmll2
0x896	1	vmac.f	mac_accumulate	acc3.bmll, acc3.bmlh, acc3.bmhl, acc3.bmhh	acc3.bmll<-mac_accumulate:g2@0x884.2:vmac.f; acc3.bmlh<-mac_accumulate:g2@0x884.2:vmac.f; acc3.bmhl<-mac_accumulate:g2@0x884.2:vmac.f; acc3.bmhh<-mac_accumulate:g2@0x884.2:vmac.f; vec3.lo<-bf16_coeff:g2@0x83c.0:vconv.bf16.fp32; vec3.hi<-bf16_coeff:g2@0x83c.0:vconv.bf16.fp32; vec10.lo<-register_move:g2@0x892.0:vmov; vec10.hi<-activation_lane_broadcast:g2@0x870.0:vextbcst.16; r4<-entry:entry	vmac.f	dm3, dm3, x3, x10, r4
0x89e	0	vmov	register_move	acc2.bmll	acc4.bmll<-vector_arith:g2@0x878.1:vsub.f	vmov	bmll2, bmll4
0x8a2	0	vunpack	unpacked_q4	vec1.lo, vec1.hi	vec0.hi<-vector_load:g1@0x7d2.0:vldb; unpacksign0<-entry:entry	vunpack	x1, wh0, unpacksign0
0x8a2	1	vextbcst.16	activation_lane_broadcast	vec7.lo, vec7.hi	vec11.lo<-vector_load:g2@0x7de.0:vldb; vec11.hi<-vector_load:g2@0x7de.0:vldb	vextbcst.16	 x7, x11, #0x4
0x8a8	0	vmov	register_move	acc1.bmlh	acc2.bmlh<-vector_arith:g2@0x84c.1:vsub.f	vmov	bmlh1, bmlh2
0x8a8	1	vmac.f	mac_accumulate	acc3.bmll, acc3.bmlh, acc3.bmhl, acc3.bmhh	acc3.bmll<-mac_accumulate:g2@0x896.1:vmac.f; acc3.bmlh<-mac_accumulate:g2@0x896.1:vmac.f; acc3.bmhl<-mac_accumulate:g2@0x896.1:vmac.f; acc3.bmhh<-mac_accumulate:g2@0x896.1:vmac.f; vec2.lo<-register_move:g2@0x842.0:vmov; vec2.hi<-activation_lane_broadcast:g1@0x764.1:vextbcst.16; vec7.lo<-activation_lane_broadcast:g2@0x8a2.1:vextbcst.16; vec7.hi<-activation_lane_broadcast:g2@0x8a2.1:vextbcst.16; r4<-entry:entry	vmac.f	dm3, dm3, x2, x7, r4
0x8b0	0	vmov	register_move	acc2.bmlh	acc4.bmlh<-vector_arith:g2@0x878.1:vsub.f	vmov	bmlh2, bmlh4
0x8b4	0	vconv.bf16.fp32	bf16_coeff	vec5.lo, vec5.hi	acc1.bmll<-register_move:g2@0x896.0:vmov; acc1.bmlh<-register_move:g2@0x8a8.0:vmov	vconv.bf16.fp32	 x5, cml1
0x8b4	1	vextbcst.16	activation_lane_broadcast	vec4.lo, vec4.hi	vec11.lo<-vector_load:g2@0x7de.0:vldb; vec11.hi<-vector_load:g2@0x7de.0:vldb	vextbcst.16	 x4, x11, #0x5
0x8bc	0	vmov	register_move	acc1.bmhl	acc2.bmhl<-vector_arith:g2@0x84c.1:vsub.f	vmov	bmhl1, bmhl2
0x8bc	1	vmac.f	mac_accumulate	acc3.bmll, acc3.bmlh, acc3.bmhl, acc3.bmhh	acc3.bmll<-mac_accumulate:g2@0x8a8.1:vmac.f; acc3.bmlh<-mac_accumulate:g2@0x8a8.1:vmac.f; acc3.bmhl<-mac_accumulate:g2@0x8a8.1:vmac.f; acc3.bmhh<-mac_accumulate:g2@0x8a8.1:vmac.f; vec4.lo<-activation_lane_broadcast:g2@0x8b4.1:vextbcst.16; vec4.hi<-activation_lane_broadcast:g2@0x8b4.1:vextbcst.16; vec7.lo<-activation_lane_broadcast:g2@0x8a2.1:vextbcst.16; vec7.hi<-activation_lane_broadcast:g2@0x8a2.1:vextbcst.16; r4<-entry:entry	vmac.f	dm3, dm3, x4, x7, r4
0x8c4	0	vmov	register_move	acc2.bmhl	acc4.bmhl<-vector_arith:g2@0x878.1:vsub.f	vmov	bmhl2, bmhl4
0x8c8	0	vconv.bf16.fp32	bf16_coeff	vec2.lo, vec2.hi	acc1.bmhl<-register_move:g2@0x8bc.0:vmov; acc1.bmhh<-register_move:g2@0x884.1:vmov	vconv.bf16.fp32	 x2, cmh1
0x8c8	1	vups.4x	expanded_q4	acc4.bmll, acc4.bmlh, acc4.bmhl, acc4.bmhh	vec1.lo<-unpacked_q4:g2@0x8a2.0:vunpack; vec1.hi<-unpacked_q4:g2@0x8a2.0:vunpack; s0<-entry:entry; upssign0<-entry:entry	vups.4x	dm4, x1, s0, upssign0
0x8c8	2	vadd	vector_arith	acc1.bmll, acc1.bmlh, acc1.bmhl, acc1.bmhh	acc4.bmll<-expanded_q4:g2@0x8c8.1:vups.4x; acc4.bmlh<-expanded_q4:g2@0x8c8.1:vups.4x; acc4.bmhl<-expanded_q4:g2@0x8c8.1:vups.4x; acc4.bmhh<-expanded_q4:g2@0x8c8.1:vups.4x; acc0.bmll<-entry:entry; acc0.bmlh<-entry:entry; acc0.bmhl<-entry:entry; acc0.bmhh<-entry:entry; r0<-entry:entry	vadd	dm1, dm4, dm0, r0
0x8d2	0	vextbcst.16	activation_lane_broadcast	vec3.lo, vec3.hi	vec11.lo<-vector_load:g2@0x7de.0:vldb; vec11.hi<-vector_load:g2@0x7de.0:vldb	vextbcst.16	 x3, x11, #0x6
0x8d6	0	vmov	register_move	acc2.bmhh	acc4.bmhh<-expanded_q4:g2@0x8c8.1:vups.4x	vmov	bmhh2, bmhh4
0x8d6	1	vsub.f	vector_arith	acc4.bmll, acc4.bmlh, acc4.bmhl, acc4.bmhh	acc1.bmll<-vector_arith:g2@0x8c8.2:vadd; acc1.bmlh<-vector_arith:g2@0x8c8.2:vadd; acc1.bmhl<-vector_arith:g2@0x8c8.2:vadd; acc1.bmhh<-vector_arith:g2@0x8c8.2:vadd; acc0.bmll<-entry:entry; acc0.bmlh<-entry:entry; acc0.bmhl<-entry:entry; acc0.bmhh<-entry:entry; r5<-entry:entry	vsub.f	dm4, dm1, dm0, r5
0x8de	0	vextbcst.16	activation_lane_broadcast	vec0.lo, vec0.hi	vec11.lo<-vector_load:g2@0x7de.0:vldb; vec11.hi<-vector_load:g2@0x7de.0:vldb	vextbcst.16	 x0, x11, #0x7
0x8de	1	vmac.f	mac_accumulate	acc4.bmll, acc4.bmlh, acc4.bmhl, acc4.bmhh	acc3.bmll<-mac_accumulate:g2@0x8bc.1:vmac.f; acc3.bmlh<-mac_accumulate:g2@0x8bc.1:vmac.f; acc3.bmhl<-mac_accumulate:g2@0x8bc.1:vmac.f; acc3.bmhh<-mac_accumulate:g2@0x8bc.1:vmac.f; vec10.lo<-register_move:g2@0x892.0:vmov; vec10.hi<-activation_lane_broadcast:g2@0x870.0:vextbcst.16; vec4.lo<-activation_lane_broadcast:g2@0x8b4.1:vextbcst.16; vec4.hi<-activation_lane_broadcast:g2@0x8b4.1:vextbcst.16; r4<-entry:entry	vmac.f	dm4, dm3, x10, x4, r4
0x8e6	0	vextbcst.16	activation_lane_broadcast	vec4.lo, vec4.hi	vec11.lo<-vector_load:g2@0x7de.0:vldb; vec11.hi<-vector_load:g2@0x7de.0:vldb	vextbcst.16	 x4, x11, #0x9
0x8ea	0	vconv.bf16.fp32	bf16_coeff	vec8.lo, vec8.hi	acc2.bmll<-register_move:g2@0x89e.0:vmov; acc2.bmlh<-register_move:g2@0x8b0.0:vmov	vconv.bf16.fp32	 x8, cml2
0x8ea	1	vmov	register_move	vec3.lo	vec8.hi<-bf16_coeff:g2@0x8ea.0:vconv.bf16.fp32	vmov	wl3, wh8
0x8ea	2	vmov.d	register_move	acc1.bmll, acc1.bmlh, acc1.bmhl, acc1.bmhh	acc4.bmll<-mac_accumulate:g2@0x8de.1:vmac.f; acc4.bmlh<-mac_accumulate:g2@0x8de.1:vmac.f; acc4.bmhl<-mac_accumulate:g2@0x8de.1:vmac.f; acc4.bmhh<-mac_accumulate:g2@0x8de.1:vmac.f	vmov.d	dm1, dm4
0x8f4	0	vextbcst.16	activation_lane_broadcast	vec7.lo, vec7.hi	vec11.lo<-vector_load:g2@0x7de.0:vldb; vec11.hi<-vector_load:g2@0x7de.0:vldb	vextbcst.16	 x7, x11, #0xa
0x8f4	1	vmac.f	mac_accumulate	acc4.bmll, acc4.bmlh, acc4.bmhl, acc4.bmhh	acc4.bmll<-mac_accumulate:g2@0x8de.1:vmac.f; acc4.bmlh<-mac_accumulate:g2@0x8de.1:vmac.f; acc4.bmhl<-mac_accumulate:g2@0x8de.1:vmac.f; acc4.bmhh<-mac_accumulate:g2@0x8de.1:vmac.f; vec8.lo<-bf16_coeff:g2@0x8ea.0:vconv.bf16.fp32; vec8.hi<-bf16_coeff:g2@0x8ea.0:vconv.bf16.fp32; vec3.lo<-register_move:g2@0x8ea.1:vmov; vec3.hi<-activation_lane_broadcast:g2@0x8d2.0:vextbcst.16; r4<-entry:entry	vmac.f	dm4, dm4, x8, x3, r4
0x8fc	0	vextbcst.16	activation_lane_broadcast	vec10.lo, vec10.hi	vec11.lo<-vector_load:g2@0x7de.0:vldb; vec11.hi<-vector_load:g2@0x7de.0:vldb	vextbcst.16	 x10, x11, #0xb
0x8fc	1	vmov.d	register_move	acc3.bmll, acc3.bmlh, acc3.bmhl, acc3.bmhh	acc1.bmll<-register_move:g2@0x8ea.2:vmov.d; acc1.bmlh<-register_move:g2@0x8ea.2:vmov.d; acc1.bmhl<-register_move:g2@0x8ea.2:vmov.d; acc1.bmhh<-register_move:g2@0x8ea.2:vmov.d	vmov.d	dm3, dm1
0x904	0	vmov	register_move	vec3.lo	vec2.hi<-bf16_coeff:g2@0x8c8.0:vconv.bf16.fp32	vmov	wl3, wh2
0x908	0	vmac.f	mac_accumulate	acc4.bmll, acc4.bmlh, acc4.bmhl, acc4.bmhh	acc4.bmll<-mac_accumulate:g2@0x8f4.1:vmac.f; acc4.bmlh<-mac_accumulate:g2@0x8f4.1:vmac.f; acc4.bmhl<-mac_accumulate:g2@0x8f4.1:vmac.f; acc4.bmhh<-mac_accumulate:g2@0x8f4.1:vmac.f; vec3.lo<-register_move:g2@0x904.0:vmov; vec3.hi<-activation_lane_broadcast:g2@0x8d2.0:vextbcst.16; vec0.lo<-activation_lane_broadcast:g2@0x8de.0:vextbcst.16; vec0.hi<-activation_lane_broadcast:g2@0x8de.0:vextbcst.16; r4<-entry:entry	vmac.f	dm4, dm4, x3, x0, r4
0x90c	0	nop	nop			nop
0x90e	0	vmov	register_move	vec5.lo	vec5.hi<-bf16_coeff:g2@0x8b4.0:vconv.bf16.fp32	vmov	wl5, wh5
0x912	0	vmov	register_move	vec9.lo	vec8.hi<-bf16_coeff:g2@0x8ea.0:vconv.bf16.fp32	vmov	wl9, wh8
0x912	1	vmac.f	mac_accumulate	acc4.bmll, acc4.bmlh, acc4.bmhl, acc4.bmhh	acc4.bmll<-mac_accumulate:g2@0x908.0:vmac.f; acc4.bmlh<-mac_accumulate:g2@0x908.0:vmac.f; acc4.bmhl<-mac_accumulate:g2@0x908.0:vmac.f; acc4.bmhh<-mac_accumulate:g2@0x908.0:vmac.f; vec5.lo<-register_move:g2@0x90e.0:vmov; vec5.hi<-bf16_coeff:g2@0x8b4.0:vconv.bf16.fp32; vec9.lo<-register_move:g2@0x912.0:vmov; vec9.hi<-activation_lane_broadcast:g2@0x88e.0:vextbcst.16; r4<-entry:entry	vmac.f	dm4, dm4, x5, x9, r4
0x91a	0	vmov	register_move	acc1.bmhl	acc3.bmhl<-register_move:g2@0x8fc.1:vmov.d	vmov	bmhl1, bmhl3
0x91e	0	vmov	register_move	acc1.bmhh	acc3.bmhh<-register_move:g2@0x8fc.1:vmov.d	vmov	bmhh1, bmhh3
0x922	0	vconv.bf16.fp32	bf16_coeff	vec1.lo, vec1.hi	acc2.bmhl<-register_move:g2@0x8c4.0:vmov; acc2.bmhh<-register_move:g2@0x8d6.0:vmov	vconv.bf16.fp32	 x1, cmh2
0x922	1	vmov	register_move	acc1.bmll	acc3.bmll<-register_move:g2@0x8fc.1:vmov.d	vmov	bmll1, bmll3
0x922	2	vmac.f	mac_accumulate	acc4.bmll, acc4.bmlh, acc4.bmhl, acc4.bmhh	acc4.bmll<-mac_accumulate:g2@0x912.1:vmac.f; acc4.bmlh<-mac_accumulate:g2@0x912.1:vmac.f; acc4.bmhl<-mac_accumulate:g2@0x912.1:vmac.f; acc4.bmhh<-mac_accumulate:g2@0x912.1:vmac.f; vec5.lo<-register_move:g2@0x90e.0:vmov; vec5.hi<-bf16_coeff:g2@0x8b4.0:vconv.bf16.fp32; vec4.lo<-activation_lane_broadcast:g2@0x8e6.0:vextbcst.16; vec4.hi<-activation_lane_broadcast:g2@0x8e6.0:vextbcst.16; r4<-entry:entry	vmac.f	dm4, dm4, x5, x4, r4
